Open,High,Low,Close,Volume,Date
41.1,41.5,40.7,40.7,1627000,2023-11-24
41.1,41.1,39.8,39.9,2243000,2023-11-27
40.1,40.6,40.1,40.4,1130000,2023-11-28
40.9,41.4,40.3,40.3,1963000,2023-11-29
40.4,40.8,40.2,40.5,1569000,2023-11-30
40.7,40.75,40.1,40.1,1153000,2023-12-01
40.95,41.4,40.25,41.25,5305000,2023-12-04
41.3,41.3,39.65,39.9,3938000,2023-12-05
39.9,40.15,39.3,39.35,2380000,2023-12-06
39.4,39.75,39.05,39.1,1539000,2023-12-07
39.25,39.5,38.95,39.0,1946000,2023-12-08
39.55,39.55,39.05,39.15,1250000,2023-12-11
39.6,39.65,39.2,39.45,1260000,2023-12-12
39.7,39.9,39.6,39.75,1357000,2023-12-13
39.95,40.2,39.7,39.95,1955000,2023-12-14
40.1,40.4,40.0,40.1,2132000,2023-12-15
40.1,40.15,39.4,39.4,1621000,2023-12-18
39.35,39.45,39.05,39.1,976000,2023-12-19
39.2,39.45,39.1,39.3,537000,2023-12-20
39.1,39.2,39.0,39.0,753000,2023-12-21
39.05,39.15,38.8,38.85,946000,2023-12-22
38.75,39.2,38.75,38.8,630000,2023-12-25
39.0,39.15,38.9,39.0,568000,2023-12-26
39.1,39.25,38.9,38.9,886000,2023-12-27
39.15,39.7,39.15,39.15,1110000,2023-12-28
39.2,39.2,38.75,38.85,1244000,2023-12-29
38.95,39.0,38.7,38.8,609000,2024-01-02
38.7,38.75,38.25,38.65,1499000,2024-01-03
38.4,38.85,38.2,38.2,1177000,2024-01-04
38.3,38.5,38.25,38.3,499000,2024-01-05
38.95,38.95,37.95,38.05,1307000,2024-01-08
38.05,38.05,37.7,37.85,921000,2024-01-09
37.7,38.3,37.55,38.0,977000,2024-01-10
38.0,38.3,37.95,38.25,642000,2024-01-11
38.1,38.2,37.95,37.95,589000,2024-01-12
38.2,38.4,38.0,38.25,502788,2024-01-15
38.25,38.3,37.8,37.85,632000,2024-01-16
37.85,37.85,37.05,37.1,1311000,2024-01-17
37.1,37.25,36.65,37.1,618000,2024-01-18
37.25,38.1,37.25,38.05,890000,2024-01-19
38.75,39.2,38.7,38.75,2130000,2024-01-22
39.2,40.15,39.2,39.85,5330000,2024-01-23
40.45,40.55,40.0,40.05,3657000,2024-01-24
40.3,40.4,39.7,39.75,2221000,2024-01-25
40.2,40.2,39.7,40.2,2446000,2024-01-26
40.9,40.95,39.95,40.05,4270000,2024-01-29
40.05,40.2,39.3,39.4,1713000,2024-01-30
39.4,39.8,39.4,39.45,1077000,2024-01-31
39.5,39.7,39.3,39.4,952000,2024-02-01
39.4,39.6,39.0,39.05,1239000,2024-02-02
39.05,39.2,38.75,39.0,1346000,2024-02-05
40.75,42.3,40.6,42.15,13560000,2024-02-15
42.75,45.8,42.45,44.15,17294000,2024-02-16
44.25,44.4,43.1,43.35,7706000,2024-02-19
43.55,43.9,43.1,43.5,4212000,2024-02-20
