Open,High,Low,Close,Adj Close,Volume,Date
34.268,34.609,31.733,32.61,28.192,30218624,2020-06-11
30.709,35.73,30.709,35.584,30.763,30589946,2020-06-12
36.071,36.364,34.316,34.901,30.173,18944595,2020-06-15
35.974,36.705,35.096,35.437,30.636,15060076,2020-06-16
35.194,36.071,34.804,36.071,31.184,12198230,2020-06-17
36.364,39.678,35.584,39.435,34.092,26953659,2020-06-18
39.435,41.628,38.996,39.288,33.965,21699762,2020-06-19
39.191,40.946,38.021,40.312,34.85,17476745,2020-06-22
40.604,40.897,38.411,38.996,33.712,34474465,2020-06-23
39.776,40.848,37.533,38.118,32.954,34173920,2020-06-24
37.533,37.631,35.096,35.535,30.72,24755474,2020-06-29
36.169,37.241,35.876,36.559,31.605,17943462,2020-06-30
38.313,40.214,37.046,38.898,33.628,51351146,2020-07-01
38.996,42.213,38.996,41.336,35.735,60510077,2020-07-02
42.115,45.43,41.921,45.43,39.275,65342390,2020-07-03
46.746,49.915,46.649,49.915,43.152,81916474,2020-07-06
51.669,53.424,46.405,48.306,41.761,84937311,2020-07-07
48.745,50.5,47.867,49.135,42.478,40086349,2020-07-08
49.915,50.207,46.795,46.795,40.455,32275255,2020-07-09
47.282,48.55,43.529,45.82,39.612,39763237,2020-07-10
47.234,50.402,46.454,50.402,43.573,57301528,2020-07-13
50.11,51.085,48.062,48.306,41.761,62095888,2020-07-14
49.427,49.915,46.795,46.795,40.455,37060383,2020-07-15
47.282,48.745,46.844,48.647,42.056,26533101,2020-07-16
48.842,49.037,46.21,46.746,40.413,29572401,2020-07-17
46.503,47.282,44.455,44.845,38.769,24888822,2020-07-20
45.333,47.429,44.943,45.333,39.191,24280551,2020-07-21
45.771,48.842,45.625,47.672,41.213,40380739,2020-07-22
48.355,49.427,43.383,45.235,39.106,84753702,2020-07-23
45.674,46.503,43.87,44.114,38.137,44931996,2020-07-24
45.333,45.625,40.166,40.263,34.808,51203438,2020-07-27
41.921,42.798,39.776,41.384,35.777,36488014,2020-07-28
41.043,42.359,39.776,40.994,35.44,23754341,2020-07-29
41.531,42.554,41.336,41.774,36.114,20001118,2020-07-30
41.384,42.408,41.238,42.408,36.662,10552926,2020-07-31
42.798,45.138,42.7,43.87,37.926,27750667,2020-08-03
44.748,45.528,43.919,44.358,38.348,16487921,2020-08-04
44.309,44.504,43.48,43.773,37.842,11526363,2020-08-05
44.309,44.455,41.774,42.213,36.494,15658089,2020-08-06
42.505,43.773,42.505,42.993,37.168,11408402,2020-08-07
43.578,44.212,42.652,42.7,36.915,8993784,2020-08-10
43.285,43.383,40.653,41.287,35.693,9156879,2020-08-11
41.043,41.336,40.117,40.653,35.145,6982287,2020-08-12
40.946,40.946,39.678,39.776,35.231,6821244,2020-08-13
39.776,39.776,38.508,38.996,34.541,10343673,2020-08-14
39.191,40.946,38.996,40.556,35.922,10170321,2020-08-17
40.604,41.238,39.532,39.63,35.102,7896231,2020-08-18
39.63,40.166,38.606,38.801,34.368,7283857,2020-08-19
38.898,38.898,34.95,35.096,31.087,20468861,2020-08-20
36.461,37.631,36.266,37.631,33.332,12617763,2020-08-21
38.216,40.117,38.167,39.922,35.361,15814003,2020-08-24
39.922,40.361,39.191,39.532,35.016,8888132,2020-08-25
39.093,40.166,38.752,39.532,35.016,7089990,2020-08-26
40.312,43.285,40.263,41.921,37.131,50812627,2020-08-27
41.921,41.921,40.117,40.897,36.225,15983252,2020-08-28
40.946,41.433,39.483,39.873,35.318,9458449,2020-08-31
40.019,40.409,39.191,40.409,35.793,7054089,2020-09-01
40.848,41.141,39.63,39.678,35.145,7957776,2020-09-02
39.776,40.263,38.996,38.996,34.541,6370939,2020-09-03
37.533,40.702,37.046,39.678,35.145,12289522,2020-09-04
40.263,41.189,39.971,40.068,35.491,14496938,2020-09-07
41.531,43.675,40.653,40.946,36.268,49228867,2020-09-08
39.971,42.164,39.971,42.018,37.218,16304312,2020-09-09
42.847,44.358,42.505,44.065,39.031,52240472,2020-09-10
44.65,45.04,42.457,42.457,37.606,37103465,2020-09-11
43.139,44.309,42.603,44.212,39.16,26494122,2020-09-14
44.26,44.504,43.627,44.455,39.376,18784578,2020-09-15
45.723,48.16,43.675,43.675,38.686,78653560,2020-09-16
44.26,44.553,43.237,43.724,38.729,16964895,2020-09-17
44.114,44.991,43.919,44.455,39.376,28994903,2020-09-18
45.089,45.43,43.919,43.919,38.901,12491595,2020-09-21
43.773,43.822,42.115,42.944,38.038,11847424,2020-09-22
43.285,43.48,42.213,42.505,37.649,7345402,2020-09-23
41.433,42.213,40.458,40.458,35.836,14219986,2020-09-24
41.238,42.067,38.508,40.068,35.491,17002848,2020-09-25
40.361,41.628,40.312,41.092,36.397,7127943,2020-09-28
41.482,41.677,40.507,40.848,36.181,4735892,2020-09-29
41.287,41.433,40.458,41.384,36.656,4160446,2020-09-30
41.189,41.677,40.946,41.092,36.397,3846566,2020-10-05
41.774,42.359,41.579,41.969,37.174,6563780,2020-10-06
41.969,42.408,41.774,42.213,37.39,4791282,2020-10-07
43.09,44.065,42.749,43.285,38.34,18680977,2020-10-08
43.919,44.212,42.554,43.09,38.167,10214428,2020-10-12
43.09,43.724,42.31,42.993,38.081,7345402,2020-10-13
43.529,44.212,43.383,44.065,39.031,11554059,2020-10-14
44.065,44.455,43.383,43.48,38.513,6882789,2020-10-15
43.578,43.87,42.018,42.115,37.304,8514759,2020-10-16
42.408,43.87,42.408,43.87,38.858,9565128,2020-10-19
43.87,44.991,43.578,43.87,38.858,19295402,2020-10-20
44.65,45.771,43.968,44.114,39.074,24503139,2020-10-21
44.163,44.748,43.675,44.065,39.031,7820325,2020-10-22
44.455,45.04,44.114,44.455,39.376,10630883,2020-10-23
44.845,45.186,43.919,43.968,38.945,10738587,2020-10-26
43.334,43.919,42.847,43.285,38.34,7398741,2020-10-27
